Lat,Lon,Type,Name
40.640761,-73.699404,cafe,Starbucks
41.789708,-87.601708,cafe,Starbucks Coffee
29.911807,-95.685513,cafe,Starbucks
29.845172,-95.646238,cafe,Starbucks
40.529512,-74.540861,bank,Chase
48.009627,-122.530828,bank,Chase
50.404515,-105.533572,cafe,Starbucks
34.076957,-118.383542,cafe,Starbucks Coffee
34.088336,-118.379067,cafe,Starbucks Coffee
40.729808,-73.862778,pharmacy,Duane Reade
40.729879,-73.862735,cafe,Starbucks
34.094739,-118.128092,cafe,Starbucks
43.733333,-79.450822,cafe,Starbucks
32.322673,-111.012747,cafe,Starbucks
29.880388,-95.683995,bank,Chase
30.133658,-95.236502,cafe,Starbucks
45.888532,-77.260597,cafe,Starbucks
39.970493,-86.156039,bank,Chase
36.123635,-115.170923,cafe,Starbucks
42.405861,-82.916105,cafe,Starbucks
33.793047,-118.335202,bank,Chase
40.738855,-73.640756,bank,Citibank
41.522176,-87.470888,cafe,Starbucks
29.996433,-95.57293,restaurant,Starbucks
49.309904,-123.08342,cafe,Starbucks Coffee
41.138173,-85.162526,cafe,Starbucks Coffee
47.624125,-122.184458,cafe,Starbucks
37.695951,-122.078044,cafe,Starbucks
34.024581,-118.284337,cafe,Starbucks
29.292322,-81.040775,cafe,Starbucks Coffee
36.691163,-121.65266,cafe,Starbucks
37.881173,-122.52538,cafe,Starbucks
41.09868,-80.648416,cafe,Starbucks
40.192114,-82.922394,cafe,Starbucks
28.663312,-81.234795,cafe,Starbucks Coffee
45.586798,-122.399707,cafe,Starbucks
38.31064,-104.627335,cafe,Starbucks
38.29757,-76.513948,cafe,Starbucks
33.25096,-111.840799,cafe,Starbucks
33.332301,-111.977454,cafe,Starbucks
41.116285,-85.138711,cafe,Starbucks
41.238811,-81.803741,bank,Chase
34.00094,-83.905671,cafe,Starbucks
30.405396,-97.851247,cafe,Starbucks
38.577288,-121.485773,cafe,Starbucks
40.716282,-75.284051,cafe,Starbucks
38.252268,-85.661121,cafe,Starbucks
39.124204,-77.164252,cafe,Starbucks
32.432515,-99.758112,cafe,Starbucks
37.973143,-122.530526,bank,Chase
35.200839,-80.866014,cafe,Starbucks
36.07617,-79.488712,cafe,Starbucks
43.644268,-79.41909,cafe,Starbucks
41.057385,-73.536734,bank,Chase
34.006465,-81.193913,cafe,Starbucks
40.737221,-73.978682,bank,Chase
42.296006,-71.296158,cafe,Starbucks
31.367225,-110.939199,bank,Chase
37.52113,-120.883176,cafe,Starbucks
39.625691,-104.883492,cafe,Starbucks
39.626391,-104.884566,cafe,Starbucks
26.065342,-80.363007,cafe,Starbucks
26.073336,-80.14355,cafe,Starbucks
33.99575,-81.22305,cafe,Starbucks
43.644063,-79.401217,cafe,Starbucks Coffee
28.446821,-81.560261,bank,Chase
40.980275,-74.024572,cafe,Starbucks
39.905535,-86.052567,cafe,Starbucks
40.693921,-74.172598,cafe,Starbucks Coffee
38.618564,-121.397654,bank,Citibank
38.61856,-121.399556,bank,Chase
38.618491,-121.4009,cafe,Starbucks
42.628169,-82.976726,cafe,Starbucks
45.559059,-122.866616,cafe,Starbucks
32.811877,-96.730283,cafe,Starbucks
35.831757,-83.572713,cafe,Starbucks
37.451646,-121.921475,cafe,Starbucks
50.875245,-114.036936,cafe,Starbucks
38.613143,-121.49692,bank,Chase
42.67772,-83.245113,bank,Chase
42.673113,-83.221236,cafe,Starbucks
34.067351,-118.398206,bank,Citibank
37.420641,-81.213678,fast_food,Starbucks
39.448433,-77.388082,cafe,Starbucks
34.849089,-82.334054,cafe,Starbucks
32.454204,-97.726645,cafe,Starbucks
32.45689,-97.726105,cafe,Starbucks
39.437651,-77.992191,cafe,Starbucks
42.344296,-71.099644,cafe,Starbucks
42.506275,-83.319481,cafe,Starbucks
33.365392,-111.60363,cafe,Starbucks Coffee
36.849071,-119.728991,cafe,Starbucks
39.978878,-86.154461,cafe,Starbucks
36.288779,-115.133227,cafe,Starbucks
33.999857,-81.017269,cafe,Starbucks
48.076284,-122.18078,cafe,Starbucks
35.843664,-86.442126,cafe,Starbucks
47.767049,-122.191283,cafe,Starbucks
33.637956,-117.863244,cafe,Starbucks
33.307144,-111.677194,cafe,Starbucks
40.731113,-74.276732,cafe,Starbucks
40.148818,-74.997871,cafe,Starbucks
36.312767,-94.178634,cafe,Starbucks
30.64913,-97.677462,cafe,Starbucks
28.819504,-81.667863,cafe,Starbucks
48.421031,-123.371142,cafe,Starbucks
38.736187,-82.995248,cafe,Starbucks
28.636442,-106.076086,cafe,Starbucks
28.636466,-106.076079,cafe,Starbucks
49.887905,-97.140131,cafe,Starbucks
29.622523,-82.377542,cafe,Starbucks Coffee
47.202937,-122.229218,cafe,Starbucks
47.204251,-122.228219,cafe,Starbucks
47.204252,-122.228737,bank,Chase
38.541348,-121.725188,cafe,Starbucks
35.10048,-80.992116,cafe,Starbucks
35.294344,-93.136639,cafe,Starbucks
43.655508,-79.767111,cafe,Starbucks
31.078266,-97.755754,cafe,Starbucks
30.154575,-95.214117,bank,Chase
42.16013,-88.273146,cafe,Starbucks
41.759148,-87.944228,cafe,Starbucks
41.767386,-72.568657,cafe,Starbucks
33.378659,-112.030701,cafe,Starbucks
26.006995,-80.389257,cafe,Starbucks
41.382095,-81.436458,cafe,Starbucks
41.431567,-81.392259,cafe,Starbucks
41.357277,-81.386718,cafe,Starbucks
39.666482,-104.937155,cafe,Starbucks
39.890875,-88.957755,cafe,Starbucks
34.697587,-118.145982,cafe,Starbucks Coffee
37.667978,-77.462559,cafe,Starbucks
40.662978,-73.840472,bank,Chase
38.878777,-97.613024,cafe,Starbucks
39.361695,-101.054055,cafe,Starbucks
33.873031,-118.343009,cafe,Starbucks
33.857757,-118.365165,cafe,Starbucks
30.514954,-86.458507,cafe,Starbucks
40.862006,-111.898118,cafe,Starbucks
32.577304,-117.036423,cafe,Starbucks
39.962907,-86.125653,cafe,Starbucks
39.973097,-86.151883,cafe,Starbucks
39.954041,-86.16378,cafe,Starbucks
33.831849,-118.297571,cafe,Starbucks
41.628208,-81.426537,cafe,Starbucks
39.828584,-105.053969,cafe,Starbucks
45.515525,-122.754911,cafe,Starbucks
33.524528,-117.686168,cafe,Starbucks
42.004635,-87.661173,cafe,Starbucks
41.818168,-89.646791,cafe,Starbucks
41.452242,-74.368911,cafe,Starbucks
39.620043,-77.773101,cafe,Starbucks
44.272547,-88.470703,cafe,Starbucks
38.933597,-77.085612,cafe,Starbucks
34.162399,-118.052916,cafe,Starbucks
40.101261,-75.007436,cafe,Starbucks
39.959378,-104.995411,cafe,Starbucks
39.958898,-104.991318,cafe,Starbucks
38.352029,-121.952764,cafe,Starbucks
38.6766,-121.746229,cafe,Starbucks
36.193298,-115.306104,cafe,Starbucks
36.155898,-115.334111,cafe,Starbucks
36.148565,-115.334726,cafe,Starbucks
36.291273,-115.287429,cafe,Starbucks
45.431388,-122.570477,cafe,Starbucks
30.228373,-95.520865,bank,Chase
45.435561,-122.572261,cafe,Starbucks
39.764835,-75.131662,cafe,Starbucks
38.091152,-122.554984,cafe,Starbucks
43.033861,-70.783364,cafe,Starbucks
30.206316,-95.464301,bank,Chase
41.817249,-72.739691,cafe,Starbucks
40.700059,-111.89374,cafe,Starbucks
45.771714,-111.186773,cafe,Starbucks
34.308642,-118.431409,cafe,Starbucks
42.67034,-83.010176,cafe,Starbucks
44.527545,-122.905428,cafe,Starbucks
41.805605,-72.55884,cafe,Starbucks
44.52616,-122.907583,cafe,Starbucks
44.948629,-93.296091,cafe,Starbucks
38.955377,-92.381149,cafe,Starbucks
33.872436,-118.35217,cafe,Starbucks
33.942503,-118.410516,cafe,Starbucks
33.894929,-118.39564,bank,Chase
40.164492,-75.481283,cafe,Starbucks Coffee
33.942332,-118.406367,cafe,Starbucks
34.050161,-118.253576,cafe,Starbucks Coffee
30.470595,-97.806931,cafe,Starbucks
33.845331,-118.387084,cafe,Starbucks
40.599962,-73.654438,cafe,Starbucks
45.030226,-75.635114,cafe,Starbucks
33.246144,-111.791107,cafe,Starbucks
39.328971,-82.101066,bank,Chase
46.558533,-87.405838,cafe,Starbucks
25.574914,-80.368297,cafe,Starbucks
39.027322,-77.139957,cafe,Starbucks
26.006832,-80.355794,cafe,Starbucks
27.499492,-81.488604,cafe,Starbucks
39.957445,-74.173104,cafe,Starbucks Coffee
37.659563,-77.637739,cafe,Starbucks
34.419948,-119.699524,cafe,Starbucks
37.304092,-121.914116,cafe,Starbucks
19.035294,-98.203797,cafe,Starbucks
40.751095,-74.025413,cafe,Starbucks
41.467714,-81.77135,cafe,Starbucks
40.773985,-73.528641,cafe,Starbucks Coffee
33.969164,-118.164145,cafe,Starbucks
33.887632,-118.395626,bank,Chase
44.976251,-93.271564,cafe,Starbucks Coffee
34.120688,-117.202606,cafe,Starbucks
26.408514,-80.121237,cafe,Starbucks
47.441801,-122.303681,cafe,Starbucks
41.566698,-85.815284,cafe,Starbucks
30.53436,-97.81783,cafe,Starbucks
33.010051,-96.969301,cafe,Starbucks
33.012446,-96.970628,cafe,Starbucks
42.96986,-85.778601,cafe,Starbucks
36.012926,-84.267771,cafe,Starbucks
36.014349,-84.255261,cafe,Starbucks
19.093244,-98.229348,cafe,Starbucks
44.763854,-85.618586,bank,Chase
40.728409,-74.031654,pharmacy,Duane Reade
49.938222,-97.093014,cafe,Starbucks
40.365525,-74.945301,restaurant,Starbucks
37.099456,-113.533725,cafe,Starbucks
45.500477,-73.567357,cafe,Starbucks
33.90144,-118.366787,cafe,Starbucks
29.270927,-94.827973,cafe,Starbucks
19.430081,-99.206823,cafe,Starbucks
40.190606,-105.102852,cafe,Starbucks
39.535726,-104.88017,cafe,Starbucks
47.613123,-122.201392,cafe,Starbucks
35.078106,-80.817029,cafe,Starbucks
47.24398,-122.527476,cafe,Starbucks
34.071772,-84.29418,bank,Chase
37.418073,-121.955686,cafe,Starbucks
